"What is Node.js and why is it used?","Node.js is a runtime environment that executes JavaScript code on the server side. It's built on Chrome's V8 engine and is ideal for building scalable, event-driven applications like APIs and real-time apps."
"How does the event loop work in Node.js?","The event loop is a single-threaded mechanism that handles async callbacks using a queue. It allows non-blocking I/O operations by offloading tasks to the event loop and worker threads when needed."
"Is Node.js single-threaded? How does it handle concurrency?","Yes, Node.js uses a single-threaded event loop for I/O, but it can handle concurrency via asynchronous callbacks and the internal thread pool (libuv) for CPU-bound or blocking operations."
"What are the differences between process.nextTick(), setImmediate(), and setTimeout()?","process.nextTick() queues a callback to run before the next event loop tick; setImmediate() runs a callback after I/O events in the current loop; setTimeout() runs after a minimum delay, not precisely timed."
"What are CommonJS and ES Modules in Node.js?","CommonJS uses require() and module.exports (default in Node); ES Modules (ESM) use import and export, and are supported with 'type': 'module' in package.json."
"How do you handle environment variables in Node.js?","Using the dotenv package to load .env files. Access variables via process.env. This keeps credentials and config secure and separate from code."
"How do you manage asynchronous code in Node.js?","Use async/await, Promises, or callbacks. async/await is preferred for readability and error handling using try/catch."
"How does Node.js handle errors?","Node handles sync errors via try/catch. For async code, use .catch() or try/catch with async/await. Also, add global error handling via process.on('uncaughtException') and process.on('unhandledRejection')."
"What is middleware in Node.js (especially in Express)?","Middleware functions have access to req, res, and next. They're used to handle tasks like logging, parsing, auth, and routing before reaching the final request handler."
"What is the difference between require() and import?","require() is used in CommonJS modules (synchronous), while import is used in ES Modules (asynchronous, top-level only). Node supports both with configuration."
"How do you ensure scalability in a Node.js application?","Use clustering to run on multiple CPU cores, use load balancers, leverage caching (Redis), optimize I/O and DB calls, and use message queues for background tasks."
"How do you test a Node.js application?","Use testing frameworks like Jest, Mocha, Chai, or Supertest for APIs. Focus on unit, integration, and E2E testing, mocking dependencies when necessary."
"How do you handle CORS in Node.js?","Use the cors middleware in Express. Configure allowed origins, methods, headers, and credentials support as needed."
"What are best practices for securing a Node.js app?","Sanitize user inputs to prevent injection, use HTTPS, set security headers (Helmet), implement auth (OAuth, JWT), limit rate requests (rate-limiter), keep dependencies updated."
"How does Node.js handle file uploads and streams?","Use multer for file uploads in Express. Use Node.js streams (fs.createReadStream) for efficient processing of large files without loading them entirely in memory."
"What is the fs module used for?","The fs module allows interaction with the file system—reading, writing, and modifying files and directories."
"How does clustering work in Node.js?","Clustering allows multiple instances of Node.js to run on different cores, sharing the same server port using the cluster module."
"What is the purpose of the crypto module?","The crypto module provides cryptographic functionality like hashing (SHA256), encryption, and signing."
"How do you connect Node.js with a database?","Use drivers or ORMs like mongoose (MongoDB), pg (PostgreSQL), or Sequelize/Prisma for relational DBs."
"What is an EventEmitter in Node.js?","EventEmitter is a class that lets you create and handle custom events using .on(), .emit(), and .once()."
